분류,단원,단어,뜻
표제어,Day 15,enlighten,"계몽하다, (설명하여) 이해시키다"
파생어,Day 15,enlightenment,"깨우침, 이해"
파생어,Day 15,enlightened,"계몽된, 훤히 통달한"
표제어,Day 15,enrol(l),"등록하다, 입학[입회]하다"
파생어,Day 15,enrollment,"등록, 입학"
표제어,Day 15,external,"외부의, 밖의"
파생어,Day 15,externalize,(생각·감정을) 표면화하다
표제어,Day 15,extinct,"멸종된, 사라진; (화산 등이) 활동을 멈춘"
파생어,Day 15,extinction,"멸종, 소멸"
표제어,Day 15,exaggerate,과장하다
파생어,Day 15,exaggeration,과장
표제어,Day 15,exceed,"넘다, 초과하다"
파생어,Day 15,excess,초과; 초과한
파생어,Day 15,excessive,"지나친, 과도한"
표제어,Day 15,foresee,예견하다
표제어,Day 15,foretell,"예언하다, 예고하다"
표제어,Day 15,forecast,"예보하다, 예측하다; 예보, 예측"
표제어,Day 16,dissolve,녹다[녹이다]; 해산하다
표제어,Day 16,discourage,"용기를 잃게 하다, 낙담시키다; 단념시키다"
파생어,Day 16,discouraged,"낙심한, 낙담한"
표제어,Day 16,dismiss,해고하다; 묵살하다; 해산시키다
파생어,Day 16,dismissal,해고; 묵살
표제어,Day 16,disorder,"혼란, 무질서; (심신의) 이상, 장애"
파생어,Day 16,disorderly,무질서한
표제어,Day 16,disposal,처리; 처분
파생어,Day 16,dispose,배치하다; 처리하다
파생어,Day 16,disposable,일회용품의
표제어,Day 16,inevitable,"피할 수 없는, 불가피한"
파생어,Day 16,inevitably,"필연적으로, 반드시"
표제어,Day 16,intolerable,"참을 수 없는, 견딜 수 없는"
표제어,Day 16,intact,"온전한, 손상되지 않은"
표제어,Day 16,invade,"침략하다, 침입하다; 침해하다"
파생어,Day 16,invasion,침입; 침해
파생어,Day 16,invasive,침습성의; 외과적인
표제어,Day 16,infect,감염시키다; 오염시키다
파생어,Day 16,infection,감염; 전염병
파생어,Day 16,infectious,"전염성의, 전염병의"
표제어,Day 16,insight,통찰력
파생어,Day 16,insightful,통찰력이 있는
표제어,Day 16,insult,"모욕하다, 창피를 주다; 모욕"
파생어,Day 16,insulting,"모욕적인, 무례한"
표제어,Day 16,instinct,"본능, 본성"
파생어,Day 16,instinctive,본능적인
표제어,Day 16,innate,"타고난, 선천적인"
파생어,Day 16,innately,선천적으로
표제어,Day 16,intake,섭취(량)
표제어,Day 16,intermission,(연극·영화 등의) 휴식 시간
표제어,Day 16,interpret,"통역하다; 이해하다, 파악하다; 설명하다"
파생어,Day 16,interpreter,통역사
파생어,Day 16,interpretation,"해석, 이해, 설명"
표제어,Day 16,interfere,간섭하다; 방해하다
파생어,Day 16,interference,"간섭, 방해"
표제어,Day 16,interval,"간격, 사이; 중간 휴식 시간"
표제어,Day 16,interaction,"상호 작용, 상호 영향"
파생어,Day 16,interact,"상호 작용하다, 소통하다"
파생어,Day 16,interactive,상호 작용하는
표제어,Day 16,interchange,"교환하다; 교환; (고속도로의) 교차점, 분기점"
표제어,Day 16,subconscious,잠재의식; 잠재의식의
파생어,Day 16,subconsciously,잠재 의식적으로
표제어,Day 16,subordinate,하위의; 부차적인; 하급자; 하위에 두다
파생어,Day 16,subordination,"하위에 두기, 복종"
표제어,Day 16,suppress,"진압하다; 억제하다, 참다"
파생어,Day 16,suppression,진압; 억제
표제어,Day 16,subscribe,(신문 등을) 구독하다; 서명하다
파생어,Day 16,subscriber,"구독자, 가입자"
파생어,Day 16,subscription,(정기 간행물의) 구독(료)
표제어,Day 16,supreme,"최고의, 최상의"
파생어,Day 16,supremacy,"최고, 우위"
표제어,Day 16,superb,"매우 뛰어난, 멋진"
표제어,Day 16,magnitude,"거대함; 중요함, 중대성"
표제어,Day 16,majestic,"위엄 있는, 장엄한"
파생어,Day 16,majesty,"위엄, 장엄"
표제어,Day 16,masterpiece,"걸작, 대표작"
표제어,Day 17,outcome,"결과, 성과"
표제어,Day 17,outgoing,"외향적인, 사교적인"
표제어,Day 17,outlet,"배출구, 표현 수단; 직판점, 아울렛; [전기] 콘센트"
표제어,Day 17,outline,"개요; 윤곽, 외형; 개요를 서술하다; 윤곽을 나타내다"
파생어,Day 17,in outline,"개략적인, 개요를 나타낸"
표제어,Day 17,outlook,"전망; 경치; 견해, 사고방식"
파생어,Day 17,on the outlook,"경계하여, 조심하여"
표제어,Day 17,outstanding,"뛰어난, 두드러진"
표제어,Day 17,outward,"표면상의, 외형의; 밖으로 향하는"
파생어,Day 17,outwardly,"외견상, 겉으로는"
표제어,Day 17,outdo,"~보다 뛰어나다, 능가하다"
파생어,Day 17,outdo oneself,의외로[전에 없이] 잘하다
표제어,Day 17,utmost,"최대의, 극도의; 최대한도"
파생어,Day 17,at (the) utmost,기껏해야
파생어,Day 17,do[try] one’s utmost,최선을 다하다
표제어,Day 17,utter,"(입 밖에) 내다, 말하다; 완전한, 전적인"
파생어,Day 17,utterance,"발언, 말하는 행동 utterly"
파생어,Day 17,utterly,완전히
표제어,Day 17,overlook,간과하다; 못 본 체하다; 내려다보다
표제어,Day 17,overflow,"넘쳐 흐르다; 가득 차다; 넘침, 초과됨"
표제어,Day 17,overtake,"따라잡다, 추월하다; 덮치다"
표제어,Day 17,overwhelm,압도하다; 당황하게 하다; 너무 많아 감당하기 힘들게 하다
파생어,Day 17,overwhelming,압도적인
표제어,Day 17,overthrow,"(지도자·정부를) 전복시키다; 폐지하다; 타도, 전복"
표제어,Day 17,perish,죽다; 소멸하다
표제어,Day 17,persist,"계속 ~하다, 고집하다; 지속하다"
파생어,Day 17,persistence,고집; 지속성
파생어,Day 17,persistent,끈질긴; 지속적인
표제어,Day 17,persuade,설득하다; 납득시키다
파생어,Day 17,persuasive,설득력 있는
파생어,Day 17,persuasion,"설득; 확신, 신념"
표제어,Day 17,posterity,"자손, 후세"
파생어,Day 17,posterior,뒤(쪽)의
표제어,Day 17,postpone,"연기하다, 늦추다"
표제어,Day 17,prevail,"만연하다, 유행하다; 승리하다, 우세하다"
파생어,Day 17,prevalence,"널리 퍼짐, 유행"
파생어,Day 17,prevalent,"널리 퍼진, 유행하는"
표제어,Day 17,preoccupied,"사로잡힌, 정신이 팔린"
파생어,Day 17,preoccupy,몰두케 하다
파생어,Day 17,preoccupation,"사로잡힘, 몰두"
표제어,Day 17,premature,"너무 이른, 시기상조의; 조산의"
표제어,Day 17,sovereign,주권이 있는; 최고 권력의; 통치자
파생어,Day 17,sovereignty,"주권, 통치권"
표제어,Day 17,surpass,"능가하다, 뛰어넘다"
파생어,Day 17,surpassing,"뛰어난, 빼어난"
표제어,Day 17,superficial,"표면상의, 외면의; 피상적인"
표제어,Day 17,transform,"변형시키다, 변화시키다"
파생어,Day 17,transformation,"변형, 변화"
표제어,Day 17,transmit,"보내다, 전송하다; 전염시키다; (열·전기 등을) 전도하다"
파생어,Day 17,transmission,"전송; 전염, 전파"
표제어,Day 17,transplant,옮겨 심다; 이식하다; 이식
표제어,Day 17,transaction,"거래, 매매"
파생어,Day 17,transact,거래하다
표제어,Day 18,synonym,"동의어, 유의어"
표제어,Day 18,sympathetic,"동정적인; 호의적인, 공감하는"
파생어,Day 18,sympathy,동정; 동조
파생어,Day 18,sympathize,동정하다; 지지하다
표제어,Day 18,synchronize,"동시에 발생하다, 동시에 움직이다"
표제어,Day 18,synthetic,"합성의, 인조의; 종합적인"
파생어,Day 18,synthesize,합성하다; 종합하다
파생어,Day 18,synthesis,종합; 합성
표제어,Day 18,underestimate,과소평가하다; (값을) 너무 적게 잡다
파생어,Day 18,underestimation,과소평가
표제어,Day 18,underlying,근본적인; 밑에 있는
파생어,Day 18,underlie,기저가 되다
표제어,Day 18,undergraduate,"대학생, 학부생; 대학생의, 학부생의"
파생어,Day 18,graduate,"졸업생, 대학원(생); 졸업하다"
표제어,Day 18,undergo,"(변화 등을) 겪다, 경험하다"
표제어,Day 18,undertake,"착수하다, 맡다; 약속하다"
표제어,Day 18,upcoming,"다가오는, 앞으로 올"
표제어,Day 18,uphold,지지하다; 떠받치다
표제어,Day 18,upright,"똑바른; 올바른; 똑바로, 수직으로; 수직 기둥"
표제어,Day 18,upgrade,향상시키다; 향상
표제어,Day 18,agent,"대리인[점], 중개인[물]; 첩보원"
표제어,Day 18,react,"반응하다; (거부) 반응을 나타내다, 반작용하다"
파생어,Day 18,reaction,"반응; 거부 반응, 반작용"
표제어,Day 18,agony,극심한 고통; 극도의 슬픔
파생어,Day 18,agonize,"고민하다, 고뇌하다"
표제어,Day 18,navigate,길을 찾다; 항해[비행]하다; (어려운 상황을) 다루다
파생어,Day 18,navigation,"항해, 항공(술)"
파생어,Day 18,navigator,"조종사, 항해사"
표제어,Day 18,distress,"괴롭히다, 근심하게 하다; 고통, 고뇌; 곤궁, 빈곤"
파생어,Day 18,distressing,괴롭히는
파생어,Day 18,distressed,"괴로워하는, 고민하는"
표제어,Day 18,prestige,"명성, 신망; 명성이 있는, 명품의, 명문의"
파생어,Day 18,prestigious,명성이 있는
표제어,Day 18,strict,"엄격한, 엄한; 엄밀한"
파생어,Day 18,strictly,엄격히; 엄밀히
표제어,Day 18,strain,"부담, 긴장(감); 잡아당기기; 힘껏 노력하다; 혹사시키다"
표제어,Day 18,vertical,"수직의, 세로의; ((the ~)) 수직(선)"
파생어,Day 18,vertically,수직으로
표제어,Day 18,converse,"거꾸로 된, 반대의; ((the ~)) 정반대; 대화하다"
파생어,Day 18,conversely,반대로
파생어,Day 18,conversation,대화
표제어,Day 18,convert,"전환하다, 개조하다; 개종하다"
파생어,Day 18,conversion,"전환, 개조; 개종"
파생어,Day 18,convertible,전환할 수 있는
표제어,Day 18,diverse,"다양한, 가지각색의"
파생어,Day 18,diversity,다양성
표제어,Day 18,reverse,뒤집다; 후진하다; 반대의; 반대; 뒤; 후진
표제어,Day 18,vacant,"비어 있는; 빈자리의, 결원의"
파생어,Day 18,vacancy,"빈자리, 결원; 빈방"
표제어,Day 18,vacuum,"진공; (자리·마음 등의) 공백, 공허"
표제어,Day 18,vain,"헛된, 무익한; 허영심이 강한"
파생어,Day 18,vanity,허영심
파생어,Day 18,in vain,헛되이
표제어,Day 18,vanish,"사라지다, 소멸하다"
표제어,Day 19,worsen,"악화되다, 악화시키다"
표제어,Day 19,broaden,"넓어지다, 넓히다"
표제어,Day 19,straighten,똑바르게 하다[되다]; 정리[정돈]하다
파생어,Day 19,straight,곧은; 정돈된; 똑바로
표제어,Day 19,fasten,"매다, 채우다; 잠그다; 고정시키다"
표제어,Day 19,hasten,"서둘러 하다; 재촉하다, 앞당기다"
파생어,Day 19,haste,"급함, 서두름"
표제어,Day 19,credible,믿을 수 있는
파생어,Day 19,credibility,"믿을 수 있음, 신뢰성"
파생어,Day 19,credibly,확실히
표제어,Day 19,dispensable,"없어도 되는, 불필요한"
파생어,Day 19,dispense,분배하다; 베풀다
표제어,Day 19,divisible,"나눌 수 있는, 나누어지는"
파생어,Day 19,divide,"나누다, 나뉘다; 분리하다"
표제어,Day 19,audible,"들리는, 들을 수 있는"
표제어,Day 19,edible,"먹을 수 있는, 식용의"
표제어,Day 19,eligible,~을 가질[할] 수 있는; 신랑[신부]감으로 좋은
표제어,Day 19,tangible,"만질 수 있는, 실체가 있는; 명백한"
파생어,Day 19,tangibly,명백히
표제어,Day 19,bilingual,2개 국어를 구사할 수 있는; 2개 국어 구사자
표제어,Day 19,duplicate,똑같은; 사본; 복사하다; 되풀이하다
파생어,Day 19,duplication,복사; 중복되다
표제어,Day 19,twilight,"황혼, 땅거미; (전성기 뒤의) 황혼기, 쇠퇴기"
표제어,Day 19,trivial,"사소한, 하찮은"
표제어,Day 19,tribe,"부족, 종족"
표제어,Day 19,deduce,"추론[추정]하다, 연역하다"
파생어,Day 19,deducible,추론할 수 있는
파생어,Day 19,deductive,연역적인
표제어,Day 19,educate,"교육하다, 가르치다"
파생어,Day 19,education,교육
표제어,Day 19,conduct,수행하다; 이끌다; 처신하다; 지휘하다; 행위; 수행
파생어,Day 19,conductor,안내자; 지휘자
파생어,Day 19,conduct oneself,처신하다
표제어,Day 19,deduct,"빼다, 공제하다"
파생어,Day 19,deduction,공제(액); 추론
표제어,Day 19,despair,"절망, 낙담; 절망하다"
파생어,Day 19,desperate,자포자기의; 필사적인
파생어,Day 19,in despair,절망하여
표제어,Day 19,prosper,"번영하다, 성공하다"
파생어,Day 19,prosperity,"번영, 호황"
표제어,Day 19,continent,"대륙, 육지"
표제어,Day 19,abstain,"기권하다; 삼가다, 절제하다"
표제어,Day 19,sustain,"유지하다; 떠받치다, 지지하다; (손해·상처 등을) 입다"
표제어,Day 19,retain,"보유하다, 유지하다; (정보 등을) 기억하다"
표제어,Day 19,attain,"달성하다, 이루다; 이르다, 달하다"
파생어,Day 19,attainable,달성할 수 있는
표제어,Day 19,integrate,"통합하다, 통합되다; 인종 차별을 철폐하다"
파생어,Day 19,integration,통합
표제어,Day 19,retail,소매; 소매하다; 소매로
파생어,Day 19,retailer,"소매상, 소매점"
표제어,Day 20,withstand,견디다; 저항하다
표제어,Day 20,withdraw,물러나다; 취소하다; 그만두다; 인출하다
표제어,Day 20,withhold,"주지 않다, 보류하다"
표제어,Day 20,abolish,"폐지하다, 없애다"
표제어,Day 20,adolescent,청소년; 청소년의
파생어,Day 20,adolescence,"사춘기, 청소년기"
표제어,Day 20,criticize,"비판하다, 비난하다; 비평하다"
파생어,Day 20,criticism,비판; 비평
파생어,Day 20,critic,"비평가, 평론가"
표제어,Day 20,discriminate,차별하다; 구별하다
파생어,Day 20,discrimination,차별; 식별[판별]력
표제어,Day 20,discern,알아보다; 식별[분간]하다
표제어,Day 20,biography,"전기, 일대기"
표제어,Day 20,biology,생물학
파생어,Day 20,biologist,생물학자
파생어,Day 20,biological,생물학적인
표제어,Day 20,resign,"사임하다, 사직하다"
파생어,Day 20,resignation,"사임, 사직(서); 체념"
파생어,Day 20,resign oneself to,포기하고 ~을 받아들이다
표제어,Day 20,signify,"의미하다, 나타내다; 중요하다, 중대하다"
파생어,Day 20,significance,중요성; 의미
파생어,Day 20,significant,중요한; 상당한
표제어,Day 20,capable,~할 수 있는; 유능한
파생어,Day 20,capability,능력
파생어,Day 20,capacity,(최대) 수용량; 능력
표제어,Day 20,conceive,생각해 내다; 상상하다; 임신하다
표제어,Day 20,captive,포로가 된; 사로잡힌; 포로
파생어,Day 20,captivity,감금
표제어,Day 20,deceive,"속이다, 기만하다"
파생어,Day 20,deception,"속임(수), 사기"
파생어,Day 20,deceit,"속임수, 기만"
표제어,Day 20,alter,"바꾸다, 변하다"
표제어,Day 20,alien,외국(인)의; 이질적인; 외계의; 외국인 체류자; 외계인
표제어,Day 20,cease,"그만두다, 그치다, 끝나다"
파생어,Day 20,ceaseless,끊임없는
표제어,Day 20,recede,"물러가다, 멀어지다; 희미해지다"
파생어,Day 20,recession,불경기
파생어,Day 20,recessive,[생물] 열성의
표제어,Day 20,precede,~에 앞서다[선행하다]
파생어,Day 20,precedent,"전례, 선례"
표제어,Day 20,predecessor,"전임자, 선배"
표제어,Day 20,casual,"느긋한, 무관심한; 평상시의; 우연한; 평상복"
표제어,Day 20,decay,"썩다, 부패하다; 쇠퇴하다; 부패; 쇠퇴"
표제어,Day 20,incident,"사건, 일어난 일"
파생어,Day 20,incidence,(범죄·질병 등의) 발생(률)
파생어,Day 20,incidental,부차적인
표제어,Day 20,sole,"유일한, 단독의"
파생어,Day 20,solely,혼자서; 단지
표제어,Day 20,solitary,"혼자의, 혼자 하는; 고립된, 외딴"
표제어,Day 20,resolve,해결하다; 결심하다
표제어,Day 20,sophisticated,"세련된, 교양 있는; 정교한"
파생어,Day 20,sophistication,"세련됨, 교양; 정교화"
표제어,Day 20,sophomore,(대학·고교의) 2학년생
표제어,Day 21,circuit,"순회; 주위, 둘레; [전기] 회로"
표제어,Day 21,circulate,순환하다[시키다]; (소문 등이) 퍼지다; 배포하다
파생어,Day 21,circulation,"순환; 유포, 유통"
표제어,Day 21,circular,"원형의, 둥근; 순회하는, 순환하는"
표제어,Day 21,cite,인용하다; 언급하다; (법정으로) 소환하다
파생어,Day 21,citation,인용구[문]; 소환(장)
표제어,Day 21,recite,"암송하다, 낭독[낭송]하다"
파생어,Day 21,recital,"독주회, 독창회"
표제어,Day 21,civil,시민의; 민간인의; [법률] 민사의
표제어,Day 21,civilize,문명화하다
파생어,Day 21,civilization,문명 (사회)
파생어,Day 21,civilized,문명화된; 예의 바른
표제어,Day 21,council,"지방 의회; 평의회, 협의회"
표제어,Day 21,proclaim,"선언하다, 공표하다"
표제어,Day 21,acquaintance,"아는 사람, 지인; 면식; 지식"
파생어,Day 21,acquaint,"(정보를) 주다, 알게 하다"
파생어,Day 21,acquainted,~와 아는 사이인; 알고 있는
표제어,Day 21,diagnose,"진단하다, (병 등의) 원인을 규명하다"
파생어,Day 21,diagnosis,"진단, 원인 규명"
파생어,Day 21,be diagnosed with[as],~으로 진단받다
표제어,Day 21,accord,"일치하다[시키다], 조화하다[시키다]; 일치, 합의; 협정"
파생어,Day 21,accordance,"일치, 부합"
파생어,Day 21,accordingly,따라서
파생어,Day 21,according to,~에 따르면
표제어,Day 21,core,"핵심, 가장 중요한 부분; 중심부; 핵심의, 가장 중요한"
표제어,Day 21,discord,"불화, 불일치; 불협화음"
표제어,Day 21,concrete,구체적인; 콘크리트로 만든; 콘크리트
표제어,Day 21,recreate,"되살리다, 재현하다"
파생어,Day 21,recreation,"기분 전환 활동, 여가 활동"
표제어,Day 21,recruit,(신입 사원·신병 등을) 모집하다; 신병; 새로운 구성원
파생어,Day 21,recruitment,신규 모집[채용]
표제어,Day 21,fatal,"치명적인, 죽음에 이르게 하는"
파생어,Day 21,fate,"운명, 숙명"
표제어,Day 21,infancy,유아기; 초기 (단계)
파생어,Day 21,infant,유아; 초기; 유아의; 초기의
표제어,Day 21,profess,"공언하다, 단언하다"
표제어,Day 21,edition,(출판물의) 판(版)
파생어,Day 21,edit,편집하다
파생어,Day 21,editor,편집자
파생어,Day 21,editorial,(신문·잡지의) 사설; 편집의; 사설의
표제어,Day 21,render,"~한 상태로 만들다; (도움 등을) 주다, 제공하다"
표제어,Day 21,surrender,항복하다; 양도하다; 항복; 양도
표제어,Day 21,assure,"보증하다, 장담하다; 확실하게 하다"
파생어,Day 21,assurance,"보증, 보장; 확신"
표제어,Day 21,ensure,"반드시 ~하게 하다, 보장하다"
표제어,Day 21,insure,보험에 가입하다
파생어,Day 21,insurance,보험(료)
표제어,Day 21,contradict,"모순되다; 반박하다, 부정하다"
파생어,Day 21,contradiction,모순; 반박
파생어,Day 21,contradictory,모순된
표제어,Day 21,dictate,"받아쓰게 하다; 명령하다, 지시하다"
파생어,Day 21,dictator,독재자
파생어,Day 21,dictation,받아쓰기; 명령
표제어,Day 21,presume,"가정하다, 추정하다"
파생어,Day 21,presumption,"추정, 가정"
표제어,Day 21,resume,다시 시작하다; 되찾다; 이력서
표제어,Day 22,attract,"끌다, 유인하다, 매혹하다"
파생어,Day 22,attraction,"유인, 매력"
파생어,Day 22,attractive,매력적인
표제어,Day 22,trail,"(질질) 끌다[끌리다]; 추적하다; 오솔길; 자국, 흔적"
표제어,Day 22,distract,"(마음·주의 등을) 흐트러뜨리다, 산만하게 하다"
표제어,Day 22,abstract,추상적인; 이론적인; 추출하다; 요약하다; 추상; 요약
표제어,Day 22,extract,"뽑다, 추출하다; 발췌하다; 발췌; 추출(물)"
표제어,Day 22,portrait,"초상(화), 인물 사진; 묘사"
파생어,Day 22,portray,"묘사하다, 그리다"
표제어,Day 22,trace,"자취, 흔적; 추적하다; (원인·유래 등을) 밝혀내다"
표제어,Day 22,treaty,"조약, 협정"
표제어,Day 22,fiction,"소설; 꾸며낸 이야기, 허구"
표제어,Day 22,defect,"결점, 결함"
파생어,Day 22,defective,결함이 있는
표제어,Day 22,proficient,"능숙한, 숙달된"
파생어,Day 22,proficiency,"숙달, 능숙"
표제어,Day 22,qualify,"자격[권한]을 주다[얻다], 적임이다"
파생어,Day 22,qualification,자격; 자격 증명서
파생어,Day 22,qualify oneself for,~에 대한 자격을 갖추다
표제어,Day 22,sufficient,충분한
파생어,Day 22,sufficiently,충분히
표제어,Day 22,colony,식민지; 집단
파생어,Day 22,colonial,식민(지)의; 식민지 주민
파생어,Day 22,colonize,식민지화하다
표제어,Day 22,cultivate,"경작하다, 재배하다; (능력 등을) 양성하다, 계발하다"
표제어,Day 22,agriculture,"농업, 농경"
표제어,Day 22,conflict,"대립, 충돌; 싸움; 대립하다, 충돌하다"
표제어,Day 22,inflict,"(고통·타격 등을) 가하다, (벌 등을) 주다"
파생어,Day 22,infliction,(고통·벌을) 가함[줌]
표제어,Day 22,fort,"요새, 보루"
파생어,Day 22,fortress,(fort보다 대규모의) 요새
파생어,Day 22,fortify,"요새화하다, 강화하다"
표제어,Day 22,force,"억지로 ~하게 하다, 강요하다; 힘; 폭력; ((the ~s)) 군대"
표제어,Day 22,reinforce,"강화하다, 증강하다, 보강하다"
파생어,Day 22,reinforcement,"강화, 증강, 보강"
표제어,Day 22,warfare,"전쟁, 전투, 싸움"
표제어,Day 22,welfare,"복지, 복리, 행복"
표제어,Day 22,confer,"협의하다, 의논하다; (상·명예 등을) 수여하다, 주다"
파생어,Day 22,conference,회담; 협의회
표제어,Day 22,infer,"추론하다, 추측하다"
파생어,Day 22,inference,"추론, 추정"
표제어,Day 22,fertile,"기름진, 비옥한; 다산의, 번식력이 있는"
파생어,Day 22,fertility,"비옥, 다산"
파생어,Day 22,fertilizer,비료
표제어,Day 22,confine,"한정하다, 제한하다; 가두다, 감금하다"
파생어,Day 22,confinement,제한; 감금
표제어,Day 22,define,정의하다; (범위·경계 등을) 규정하다
파생어,Day 22,definition,정의
파생어,Day 22,definite,"확실한, 명확한"
파생어,Day 22,definitely,틀림없이
표제어,Day 22,infinite,무한한
표제어,Day 22,refine,"정제하다; 개선하다, 다듬다"
파생어,Day 22,refinement,정제; 개선; 세련
파생어,Day 22,refined,정제된; 개선된; 세련된
표제어,Day 23,fraction,"일부, 소량; [수학] 분수"
파생어,Day 23,fractional,아주 적은; 분수의
표제어,Day 23,fragile,"깨지기 쉬운, 부서지기 쉬운; (체질이) 허약한"
파생어,Day 23,fragility,"부서지기 쉬움, 허약"
표제어,Day 23,fragment,"파편, 조각; 산산이 부수다[부서지다]"
파생어,Day 23,fragmentary,단편적인
표제어,Day 23,fundamental,"근본적인, 기본적인; 중요한, 필수의"
표제어,Day 23,profound,(영향·효과 등이) 강한; (사상·의미 등이) 심오한; 깊은
표제어,Day 23,fusion,"융합, 결합"
파생어,Day 23,fuse,녹다[녹이다]; 융합시키다[되다]; [전기] 퓨즈
표제어,Day 23,futile,"쓸모없는, 무익한"
파생어,Day 23,futility,"무가치, 무익"
표제어,Day 23,garment,의류 (한 점)
표제어,Day 23,grace,"우아함; 품위; (신의) 은혜, 은총"
파생어,Day 23,graceful,"우아한, 품위 있는"
표제어,Day 23,gratitude,감사(의 마음)
파생어,Day 23,ingratitude,"은혜를 모름, 배은망덕"
표제어,Day 23,habitat,"서식지, 거주지"
파생어,Day 23,habitation,"거주, 거주지"
표제어,Day 23,inhabit,"~에 살다, 서식하다"
파생어,Day 23,inhabitant,주민; 서식 동물
표제어,Day 23,inject,"주입하다, 주사하다"
파생어,Day 23,injection,"주입, 주사"
표제어,Day 23,project,"프로젝트, 계획; 예상[추정]하다; 투영하다; 계획하다; 돌출되다"
파생어,Day 23,projection,예상[추정]; 투영; 돌출(부)
표제어,Day 23,justify,정당화하다
파생어,Day 23,justification,"(정당화를 위한) 명분, 이유"
표제어,Day 23,prejudice,"편견, 선입관; 편견을 갖게 하다"
표제어,Day 23,arrest,체포; 체포하다
표제어,Day 23,constant,끊임없는; 불변의; 불변(의 것); [수학] 상수
파생어,Day 23,constantly,끊임없이
표제어,Day 23,institute,"학회, 협회; (제도·절차 등을) 제정하다, 도입하다"
파생어,Day 23,institution,기관[시설]; (사회) 제도; 제정
표제어,Day 23,estate,"재산; 토지, 사유지"
표제어,Day 23,destined,"~할 운명의, ~하기로 되어 있는; ((~ for)) ~행의"
파생어,Day 23,destiny,운명
파생어,Day 23,destination,"목적지, 행선지"
표제어,Day 23,assist,"돕다, 거들다; [스포츠] 어시스트"
파생어,Day 23,assistance,"도움, 원조"
파생어,Day 23,assistant,"조수, 보조자; 보조의"
표제어,Day 23,constitute,구성하다; ~로 간주되다; 설립하다
파생어,Day 23,constitution,"헌법; 체질; 구성, 구조"
표제어,Day 23,substitute,"대용품, 대리인; 대체하다; (일을) 대신하다"
파생어,Day 23,substitution,"대리, 대체"
표제어,Day 23,obstacle,"장애(물), 방해(물)"
표제어,Day 23,stable,안정된; 침착한; 마구간
파생어,Day 23,stabilize,안정시키다[되다]
파생어,Day 23,stability,안정(성)
표제어,Day 23,statistics,통계(치); 통계학
파생어,Day 23,statistical,"통계의, 통계(학)상의"
표제어,Day 23,steady,꾸준한; 안정된
파생어,Day 23,steadily,꾸준히
표제어,Day 23,substance,"물질; 본질, 실체; 요지"
파생어,Day 23,substantial,"상당한, 많은; 본질적인, 중요한"
표제어,Day 23,superstition,미신
파생어,Day 23,superstitious,"미신의, 미신적인"
표제어,Day 24,elaborate,"정교한, 정성 들인; 상세히 말하다; 갈고 다듬다"
표제어,Day 24,collaborate,"공동으로 일하다, 협력하다"
파생어,Day 24,collaboration,"협력, 협동"
표제어,Day 24,laboratory,"실험실, 연구실"
표제어,Day 24,inspect,"점검하다, 검사하다; 시찰하다, 감사하다"
파생어,Day 24,inspection,조사; 시찰
파생어,Day 24,inspector,"조사자, 검열관"
표제어,Day 24,spectacle,"구경거리, 장관; ((~s)) 안경"
파생어,Day 24,spectacular,구경거리의; 화려한 쇼
파생어,Day 24,spectator,"구경꾼, 관중"
표제어,Day 24,suspect,"의심하다, ~라고 생각하다; 용의자"
파생어,Day 24,suspicion,"의심, 혐의"
파생어,Day 24,suspicious,"의심스러운, 수상한"
표제어,Day 24,tense,긴장한; 팽팽한; [문법] 시제
파생어,Day 24,tension,"긴장, 불안; 팽팽함"
표제어,Day 24,tender,"(음식이) 연한; 다정한; 제출하다, 제공하다; 입찰하다"
표제어,Day 24,intend,의도하다; ~할 작정이다
표제어,Day 24,intense,강렬한; 치열한; 열심인
파생어,Day 24,intensive,"집중적인, 철저한"
표제어,Day 24,tend,"~하는 경향이 있다, ~하기 쉽다; 돌보다, 보살피다"
파생어,Day 24,tendency,"성향; 경향, 추세"
표제어,Day 24,evaluate,"평가하다, 견적을 내다"
파생어,Day 24,evaluation,"평가, 견적"
표제어,Day 24,valid,타당한; 유효한
파생어,Day 24,validate,입증하다; 승인[허가]하다
파생어,Day 24,validity,타당성; 유효함
표제어,Day 24,equivalent,"동등한, 대등한; ~에 상당하는; 동등한 것"
파생어,Day 24,equivalence,같음
표제어,Day 24,colleague,(직장) 동료
표제어,Day 24,privilege,"특권, 특전; 특권을 주다"
표제어,Day 24,liberal,"개방적인, 편견 없는; 자유주의의; 후한, 인색하지 않은"
파생어,Day 24,liberate,"해방하다, 자유롭게 하다"
파생어,Day 24,liberty,"자유, 해방"
표제어,Day 24,preliminary,"예비의, 준비의; 예비 단계; 예선"
표제어,Day 24,ecology,"생태학, 생태(계)"
파생어,Day 24,ecological,"생태학의, 생태상의"
표제어,Day 24,logic,논리학; 논리
파생어,Day 24,logical,"논리적인, 논리학의"
표제어,Day 24,psychology,심리학; 심리 (상태)
파생어,Day 24,psychological,심리적인
표제어,Day 24,manipulate,"(교묘하게) 조종하다, 조작하다; 잘 다루다"
파생어,Day 24,manipulation,"교묘한 조작, 잘 다룸"
표제어,Day 24,manual,"육체노동의; 수동의; 소책자, 설명서"
표제어,Day 24,manuscript,"원고; 손으로 쓴 것, 사본"
